
Tue Jul 14 09:56:48 2020, board: 1, dev: 2, status: On
Tue Jul 14 09:56:52 2020, board: 1, dev: 3, status: On
Tue Jul 14 09:56:53 2020, board: 1, dev: 3, status: Off
Tue Jul 14 09:56:53 2020, board: 1, dev: 4, status: On
Tue Jul 14 09:56:55 2020, board: 1, dev: 3, status: On
Tue Jul 14 09:56:56 2020, board: 1, dev: 1, status: On
Tue Jul 14 09:56:57 2020, board: 1, dev: 1, status: Off
Tue Jul 14 09:56:58 2020, board: 1, dev: 2, status: Off
Tue Jul 14 09:56:59 2020, board: 1, dev: 2, status: On
Tue Jul 14 09:57:00 2020, board: 1, dev: 3, status: Off
Tue Jul 14 09:57:01 2020, board: 1, dev: 4, status: Off
Tue Jul 14 09:57:03 2020, board: 1, dev: 2, status: Off
Tue Jul 14 09:57:04 2020, board: 1, dev: 3, status: On
Tue Jul 14 09:57:05 2020, board: 1, dev: 2, status: On
Tue Jul 14 09:57:06 2020, board: 1, dev: 4, status: On
Tue Jul 14 09:57:07 2020, board: 1, dev: 4, status: Off
Tue Jul 14 09:57:07 2020, board: 1, dev: 4, status: On
Tue Jul 14 09:57:07 2020, board: 1, dev: 4, status: Off
Tue Jul 14 09:57:09 2020, board: 1, dev: 4, status: On
Tue Jul 14 09:57:09 2020, board: 1, dev: 4, status: Off
Tue Jul 14 09:57:10 2020, board: 1, dev: 4, status: On
Tue Jul 14 09:57:10 2020, board: 1, dev: 4, status: Off
Tue Jul 14 09:57:10 2020, board: 1, dev: 4, status: On
Tue Jul 14 09:57:11 2020, board: 1, dev: 4, status: Off
Tue Jul 14 09:57:11 2020, board: 1, dev: 4, status: On
Tue Jul 14 09:57:12 2020, board: 1, dev: 4, status: Off
Tue Jul 14 09:57:12 2020, board: 1, dev: 1, status: On
Tue Jul 14 09:57:13 2020, board: 1, dev: 1, status: Off
Tue Jul 14 09:57:13 2020, board: 1, dev: 2, status: Off
Tue Jul 14 09:57:14 2020, board: 1, dev: 3, status: Off
Tue Jul 14 09:57:15 2020, board: 1, dev: 4, status: On
Tue Jul 14 09:57:15 2020, board: 1, dev: 4, status: Off
Tue Jul 14 09:57:16 2020, board: 1, dev: 4, status: On
Tue Jul 14 09:57:16 2020, board: 1, dev: 4, status: Off
